Estado;Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do PCA;Destino final;Justificação DF;Notas;;;;;;;;;;

;650;PRESTAÇÃO DE SERVIÇOS DE PROTEÇÃO E INCLUSÃO SOCIAL;Relativo à prestação de serviços de proteção e ação social, a promoção dos direitos humanos, igualdade do género, igualdade de oportunidades e inserção social de pessoas ou grupos - proteção de pessoas ou grupos vulneráveis, prevenção de situações de rutura psicossocial, reparação de situações de carência socioeconómica, de dependência, de disfunção, exclusão ou vulnerabilidade social, bem como a integração e promoção comunitárias e integração no mercado de trabalho.;"Administração dos regimes de proteção social.#
Processamento de apoios na área da ação social (e ação social complementar para os trabalhadores da administração pública)#
Integração no mercado de trabalho#
Apoio psicossocial a pessoas ou grupos em risco em contexto comunitário global#
Apoio psicossocial a pessoas ou grupos em risco em contextos específicos de relações laborais, prestação de serviços, execução de penas, entre outros (apoio a crianças, jovens e idosos, alunos, doentes, reclusos, funcionários, pessoas com deficiência, toxicodependentes, vítimas de violência, pessoas dependentes, desempregados, família e comunidade, grupos de risco, imigrantes e minorias étnicas, etc.)#";;"Ações de informação e sensibilização devem ser consideradas em ""Dinamização e comunicação institucional/ Execução de atividades de dinamização da sociedade"" (900.10);
Ações de formação devem ser consideradas em ""Prestação de serviços de ensino e formação"" (750);
As comparticipações concedidas no quadro de candidaturas a programas de apoio ao estabelecimento e/ou funcionamento de equipamentos e respostas sociais (ex.: Programa de Alargamento da Rede de Equipamentos Sociais, Programa de Apoio ao Investimento a Respostas Sociais, entre outros) devem ser consideradas em ""Execução de programas e de ações de incentivo/ Atribuição e controlo de financiamentos e de ajudas diretas"" (850.10).";;;;;;;;;;;;;;;;;;;;;;;;;;;;

;650.10;Atribuição de prestações sociais e auxílios económicos;"Compreende os processos relativos ao processamento de prestações e comparticipações financeiras aos beneficiários dos regimes de proteção social (apoios prestados pela Caixa Geral de Aposentações, Segurança Social, ADSE e outros regimes complementares).
Compreende, igualmente, os processos de atribuição de prestações em espécie e de prestações pecuniárias de caráter eventual e em condições de excecionalidade, a pessoas em situação de carência e desigualdade socioeconómica - no que se inclui a atribuição de apoios para pagamento de rendas de casa, bem como o apoio ao arrendamento ou aquisição de habitação a custos controlados.";"Apoios atribuídos no âmbito da ação social em qualquer domínio, incluindo a ação social escolar (de qualquer nível de ensino)#
A generalidade dos organismos da AP deve utilizar esta classe apenas para o encaminhamento de pedidos de prestações à Segurança Social, ADSE, CGA e entidades similares#";;"Os pedidos de inscrição/ cancelamento de beneficiário e alteração de dados de beneficiários da Segurança Social, ADSE, CGA e entidades similares devem ser considerados em ""Prestação de serviços de identificação e registo/ Registo de dados de identificação e caracterização de entidades ou atos"" (400.10).";;;;;;;;;;;;;;;;;;;;;;;;;;;;

;650.10.001;Concessão de pensões de velhice, invalidez e aposentação;"Atribuição de prestação pecuniária mensal vitalícia destinada a proteger os beneficiários dos regimes de Segurança Social e Caixa Geral de Aposentações nas situações de incapacidade permanente para o trabalho, incapacidade absoluta e permanente, idade e tempo de serviço legalmente exigidos.
Inicia com o processamento do pedido e termina com a comunicação do montante a atribuir. 
Inclui análise das condições de atribuição mediante os comprovativos apresentados e decisão sobre o montante a atribuir.";"Situações incapacitantes, de causa não profissional, que determine incapacidade permanente para o trabalho#
Reapreciações e reavaliações do montante a conceder#
Subscritores militares e equiparados da Caixa Geral de Aposentações (pensões de reforma)#
Pensão a militares não subscritores da Caixa Geral de Aposentações (pensões de invalidez)#
Pensão a militares qualificados como Deficiente das Forças Armadas, Grande Deficiente das Forças Armadas e Grande Deficiente do Serviço Efetivo Normal#
";;O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;"Lei 11/2014#
DL 187/2007#
DL 3/2013#
Declaração de Retificação 2/2013#
DL 133/2012#
Lei 23/2010#
Portaria 1553-D/2008#
DL 309-A/2000#
DL 265/99#
DL 322/90#
Decreto Regulamentar 52/81#
DL 498/72#
Lei 60/2005#
DL 229/2005#";PC;S;"ISS#
CGA#";"AP#
Grupo IP#
INFARMED#";"Comunicar#
Comunicar#
Comunicar#";"150.10.600#
150.20.300#
150.20.404#
150.40.001#
150.40.500#
300.30.008#
350.10.502#
350.30.001#
400.10.011#
500.10.301#
650.10.204#
650.10.205#";"Avaliação de políticas e instrumentos de operacionalização#
Avaliação de atividades#
Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Liquidação de contribuições para a segurança social e aposentação#
Cobrança de receitas e pagamento de despesas#
Registo no sistema da Segurança Social#
Realização de fiscalização#
Concessão de pensões sociais de velhice#
Concessão de rendimento social de inserção#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (síntetizado)#
Síntese (síntetizado)#
Cruzada#
Sucessão (antecessor)#
Síntese (síntetizado)#
Suplemento para#
Cruzada#
Cruzada#";Elevada;S;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, “O direito às prestações pecuniárias vencidas prescreve a favor das instituições devedoras no prazo de cinco anos, contado a partir da data em que as mesmas são postas a pagamento, com conhecimento do credor.” e
art.º 80º - Incumprimento das obrigações legais - “A falta de cumprimento das obrigações legais relativas, designadamente, à inscrição no sistema, ao enquadramento nos regimes e ao cumprimento das obrigações contributivas, bem como a adoção de procedimentos, por ação ou omissão, tendentes à obtenção indevida de prestações, consubstanciam contraordenações ou ilícitos criminais, nos termos definidos por lei.”
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização. ";Data de cessação da vigência;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.404 - Prestação de contas;
PN 150.40.001 - Realização de operações estatísticas oficiais;
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão;
PN 300.30.008 - Registo de documentos e informação;
PN 400.10.011 - Registo no sistema da Segurança Social.
A aplicação de regras para a determinação da prestação a atribuir encontra-se sujeita a condições formais rigorosas de controlo acentuado, sendo essas regras preservadas em 100.10.";"PN resultante do ex-PN 650.10.001 Concessão de pensões de invalidez e do PN 650.10.003 Concessão de pensões de velhice
";;;;;;;;;;

;650.10.002;Concessão de pensões de sobrevivência;"Atribuição de prestação pecuniária mensal destinada a compensar os familiares do beneficiário da perda de rendimentos de trabalho resultante da morte deste.
Inicia com o processamento do pedido e termina com a comunicação do montante a atribuir.
Inclui análise da situação mediante os comprovativos apresentados e decisão sobre o montante a atribuir.";Reapreciações e reavaliações do montante a conceder#;;O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;"DL 133/2012#
DL 70/2010#
DL 91/2009#
Lei 32/2002#";PE;N;ISS#;Grupo IP#;;"150.10.600#
150.20.300#
150.20.404#
150.40.001#
150.40.500#
300.30.008#
350.10.502#
350.30.001#
400.10.011#
500.10.301#
650.10.204#";"Avaliação de políticas e instrumentos de operacionalização#
Avaliação de atividades#
Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Liquidação de contribuições para a segurança social e aposentação#
Cobrança de receitas e pagamento de despesas#
Registo no sistema da Segurança Social#
Realização de fiscalização#
Concessão de pensões sociais de velhice#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (síntetizado)#
Síntese (síntetizado)#
Cruzada#
Sucessão (antecessor)#
Síntese (síntetizado)#
Suplemento para#
Cruzada#";Elevada;S;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, e art.º 80º - Incumprimento das obrigações legais; 
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
O prazo contempla quer a prescrição do direito à prestação pelo beneficiário, quer a perda de capacidade da Administração para acionar o pagamento de contraordenação por incumprimento das obrigações legais do beneficiário, por via da prescrição contraordenacional.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização. ";Data de cessação da vigência;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.404 - Prestação de contas;
PN 150.40.001 - Realização de operações estatísticas oficiais;
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão;
PN 300.30.008 - Registo de documentos e informação;
PN 400.10.011 - Registo no sistema da Segurança Social.
A aplicação de regras para a determinação da prestação a atribuir encontra-se sujeita a condições formais rigorosas de controlo acentuado, sendo essas regras preservadas em 100.10.";;;;;;;;;;;

;650.10.004;Concessão de prestações por parentalidade;"Atribuição de prestação pecuniária mensal, ao pai e/ou à mãe, ou avós ou equiparados, com vista a substituir o rendimento de trabalho perdido durante o período de licença por nascimento de filho ou neto, filho de adolescente menor de 16 anos.
Inicia com o processamento do pedido e termina com a comunicação do montante a atribuir.
Inclui análise da situação mediante os comprovativos apresentados e decisão sobre o montante a atribuir.

";"Subsídio parental alargado#
Subsídio parental inicial#
Subsídio parental inicial exclusivo da mãe#
Subsídio parental inicial exclusivo do pai#
Subsídio parental inicial de um progenitor em caso de impossibilidade do outro#

";;O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;"DL 133/2012#
DL 70/2010#
DL 91/2009#
Lei 32/2002#";PE;N;"ISS#
";Grupo IP#;;"150.10.600#
150.20.300#
150.20.404#
150.40.001#
150.40.500#
300.30.008#
350.10.502#
350.30.001#
400.10.011#
500.10.301#
650.10.005#";"Avaliação de políticas e instrumentos de operacionalização#
Avaliação de atividades#
Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Liquidação de contribuições para a segurança social e aposentação#
Cobrança de receitas e pagamento de despesas#
Registo no sistema da Segurança Social#
Realização de fiscalização#
Concessão de prestações compensatórias de subsídio de férias e de natal por motivo de doença e de parentalidade#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (síntetizado)#
Síntese (síntetizado)#
Cruzada#
Sucessão (antecessor)#
Síntese (síntetizado)#
Suplemento para#
Sucessão (antecessor)#";Média;S;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, e art.º 80º - Incumprimento das obrigações legais; 
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
O prazo contempla quer a prescrição do direito à prestação pelo beneficiário, quer a perda de capacidade da Administração para acionar o pagamento de contraordenação por incumprimento das obrigações legais do beneficiário, por via da prescrição contraordenacional.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização. ";Data de conclusão do procedimento;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.404 - Prestação de contas;
PN 150.40.001 - Realização de operações estatísticas oficiais;
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão;
PN 300.30.008 - Registo de documentos e informação;
PN 400.10.011 - Registo no sistema da Segurança Social.
A aplicação de regras para a determinação da prestação a atribuir encontra-se sujeita a condições formais rigorosas de controlo acentuado, sendo essas regras preservadas em 100.10.";;;;;;;;;;;
