Estado;Estado;ID SIOE;Sigla;Designação;Tipologia de Entidade;Internacional;;;;;;;;;;;;;

Ativo;;149110000;ACSS;Administração Central do Sistema de Saúde, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;146000000;ARS-LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo;AP#;;;;;;;;;;;;;;

Ativo;;147000000;ARS-Aln;Administração Regional de Saúde do Alentejo;AP#;;;;;;;;;;;;;;

Ativo;;148000000;ARS-Alg;Administração Regional de Saúde do Algarve;AP#;;;;;;;;;;;;;;

Ativo;;145000000;ARS-C;Administração Regional de Saúde do Centro;AP#;;;;;;;;;;;;;;

Ativo;;144000000;ARS-N;Administração Regional de Saúde do Norte;AP#;;;;;;;;;;;;;;

Ativo;;;A3ES;Agência de Avaliação e Acreditação do Ensino Superior;Fnd#;;;;;;;;;;;;;;

Ativo;;53300000;IGCP;Agência de Gestão da Tesouraria e da Dívida Pública - IGCP, EPE;SPE#;;;;;;;;;;;;;;

Ativo;;;ECHA;Agência Europeia dos Produtos Químicos;;Sim;;;;;;;;;;;;;

Ativo;;;AISAN;Agência ISAN Portugal;;;;;;;;;;;;;;;

Inativo;Inativo;;ANCP;Agência Nacional de Compras Públicas ;AP#;;;;;;;;;;;;;;

Ativo;;90540000;ANQEP;Agência Nacional para a Qualificação e o Ensino Profissional, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;70080000;IAPMEI;Agência para a Competitividade e Inovação, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;70090000;AICEP;Agência para o Investimento e Comércio Externo de Portugal ;AP#;;;;;;;;;;;;;;

Ativo;;83420000;APA;Agência Portuguesa do Ambiente, IP;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;875792925;AMT;Autoridade da Mobilidade e dos Transportes;"ER#
ASF#";;;;;;;;;;;;;;

Ativo;;;ANA;ANA - Aeroportos de Portugal;;;;;;;;;;;;;;;

Ativo;;875780306;AR;Assembleia da República;;;;;;;;;;;;;;;

Ativo;;770000054;ALRAM;Assembleia Legislativa da Região Autónoma da Madeira;;;;;;;;;;;;;;;

Ativo;;875780307;ALRAA;Assembleia Legislativa da Região Autónoma dos Açores;;;;;;;;;;;;;;;

Ativo;;;DNS.PT;Associação DNS.PT;;;;;;;;;;;;;;;

Ativo;;770000136;ANMP;Associação Nacional de Municípios Portugueses;;;;;;;;;;;;;;;

Ativo;;;ANTRAL;Associação Nacional dos Transportes Rodoviários em Automóveis Ligeiros;;;;;;;;;;;;;;;

Ativo;;;APAV;Associação Portuguesa de Apoio à Vítima;;;;;;;;;;;;;;;

Ativo;;;APEL;Associação Portuguesa de Editores e Livreiros;;;;;;;;;;;;;;;

Ativo;;875780390;AAN;Autoridade Aeronáutica Nacional;FA#ASF#;;;;;;;;;;;;;;

Ativo;;74500000;ASAE;Autoridade de Segurança Alimentar e Económica;AP#ASF#;;;;;;;;;;;;;;

Ativo;;875780389;AMN;Autoridade Marítima Nacional;ASF#;;;;;;;;;;;;;;

Ativo;;111300000;ANAC;Autoridade Nacional da Aviação Civil;"ER#
ASF#";;;;;;;;;;;;;;

Ativo;;70070000;ANACOM;Autoridade Nacional de Comunicações;"ER#
ASF#";;;;;;;;;;;;;;

Ativo;;21300000;ANPC;Autoridade Nacional de Proteção Civil;AP#ASF#;;;;;;;;;;;;;;

Ativo;;;ANS;Autoridade Nacional de Segurança ;AP#ASF#;;;;;;;;;;;;;;

Ativo;;20100000;ANSR;Autoridade Nacional de Segurança Rodoviária;AP#ASF#;;;;;;;;;;;;;;

Ativo;;92380000;ACT;Autoridade para as Condições de Trabalho;AP#ASF#;;;;;;;;;;;;;;

