Tipo;Entidade;Número;Data;Sumário;Link;;

Decreto;;31730/41;1941/15/12;Regulamento das Alfândegas;https://dre.pt/application/file/469131;;

DL;;42644/59;1959/14/11;Atualiza as disposições privativas do Registo Comercial;https://dre.pt/application/file/438874;;

DL;;42645/59;1959/14/11;Aprova o Regulamento do Registo Comercial;https://dre.pt/application/file/438975;;

DL;;43453/60;1960/30/12;Altera algumas disposições da Lei n.º 1933 (dívida pública) e cria o Fundo de regularização da dívida pública e o Fundo de renda vitalícia, em substituição do Fundo de amortização da dívida pública - Autoriza o Ministro das Finanças a mandar emitir, por intermédio da Junta do Crédito Público, títulos da dívida pública nominativos e amortizáveis, denominados certificados de aforro, destinados a conceder uma aplicação remuneradora aos pequenos capitais - Revoga determinadas disposições da referida lei e dos Decretos-Leis n.os 31089 e 38811;https://dre.pt/application/file/479772;;

DL;;44599/62;1962/26/09;Integra no Centro Militar de Educação Física, Equitação e Desportos, criado pelo Decreto-Lei n.º 41368, um Centro de Instrução Militar de Cães;https://dre.pt/application/file/a/160434;;

DL;;47344/66;1966/25/11;Aprova o Código Civil e regula a sua aplicação - Revoga, a partir da data da entrada em vigor do novo Código Civil, toda a legislação civil relativa às matérias que o mesmo abrange;https://dre.pt/application/file/a/477502;;

DL;;48295/68;1968/27/03;Aprovação para adesão a Convenção sobre Relações Diplomáticas, celebrada em Viena aos 18 dias de Abril de 1961;https://dre.pt/application/dir/pdf1sdip/1968/03/07400/04030415.pdf;;

DL;;48450/68;1968/24/06;Convenção de Haia: Convenção Relativa à Supressão da Exigência da Legalização dos Actos Públicos Estrangeiros;https://dre.pt/application/file/a/271950;;

Decreto;;49029/69;1969/26/05;Promulga o Regulamento do Processo de Execução da Convenção Internacional sobre o Limite de Responsabilidade dos Proprietários dos Navios de Alto Mar, concluída em Bruxelas em 10-10-1957;https://dre.pt/application/file/201110;;

DL;;74/70;1970/02/03;Insere disposições destinadas a tomar as providências necessárias no sentido de se constituir em operações de tesouraria as reservas pecuniárias para ocorrer a despesas com a cobertura dos riscos por prejuízos causados no património do Estado, provenientes de circunstâncias acidentais ou fortuitas, e à responsabilidade pelos danos derivados de quaisquer acidentes no trabalho resultantes do exercício normal das funções dos servidores do Estado ou de quaisquer indivíduos que lhe prestem serviço - Revoga o artigo 28.º do Decreto-Lei n.º 38523, mantendo-se em vigor o seu § único, para aplicação aos serviços que menciona;https://dre.pt/application/file/228490;;

DL;;265/72;1972/31/07;Aprova o Regulamento Geral das Capitanias;https://dre.pt/application/file/408463;;

DL;;498/72;1972/09/12;Promulga o Estatuto da Aposentação;https://dre.pt/application/file/685276;;

DL;;406/74;1974/29/08;Garante e regulamenta o direito de reunião;https://dre.pt/application/file/a/424815;;

Decreto;;55/75;1975/12/02;Aprova o Regulamento do Registo de Automóveis;https://dre.pt/application/file/159844;;

DL;;54/75;1975/13/02;Remodela o actual sistema de registo da propriedade automóvel;https://dre.pt/application/file/159843;;

DL;;95-C/76;1976/30/01;Organização do processo eleitoral no estrangeiro;https://dre.pt/web/guest/legislacao-consolidada/-/lc/67038214/201703071547/exportPdf/maximized/1/cacheLevelPage?rp=indice;;

DL;;319-A/76;1976/03/05;Regulamenta a eleição do Presidente da República;https://dre.pt/application/file/655817;;

Decreto;;862/76;1976/22/12;Regulamenta o direito de preferência da Administração nas alienações, a título oneroso, de terrenos ou edifícios previsto na lei;https://dre.pt/application/file/407587;;

DL;;460/77;1977/07/11;Aprova o estatuto das colectividades de utilidade pública;https://dre.pt/application/file/277734;;

DL;;496/77;1977/25/11;Introduz alterações ao Código Civil;https://dre.pt/application/file/300130;;

Decreto;;73/78;1978/26/07;Aprova, para adesão, o Acto de Paris da Convenção de Berna para a Proteção das Obras Literárias e Artísticas;https://dre.pt/application/file/297088;;

Decreto;;161/78;1978/21/12;Aprovação da adesão à Convenção Única sobre Estupefacientes (ONU);https://dre.pt/application/file/a/325233;;

DL;;156/78;1978/30/06;Regime de recrutamento e funções dos juízes sociais;http://dre.pt/pdf1sdip/1978/06/14800/11751179.pdf;;

Lei;;64/78;1978/06/10;Insere disposições relativas a organizações fascistas;https://dre.pt/application/file/328565;;

Diretiva;CEE; 409/79;1979/02/04;Diretiva do Conselho 79/409/CEE, relativa à conservação das aves selvagens;http://eur-lex.europa.eu/legal-content/PT/TXT/PDF/?uri=CELEX:31979L0409&from=PT;;

Circular;PGR;12/79;1979/11/05;Organização de processos administrativos. Instauração, tramitação e comunicações;http://www.cej.mj.pt/cej/recursos/ebooks/GestaoProcessual/Gestao_Processual.pdf;;

DL;;191-A/79;1979/25/06;Revê o Estatuto da Aposentação;https://dre.pt/application/file/432719;;

DL;;411-B/79;1979/03/10;Eleição para a Assembleia da república - Designação dos mandatários das listas pelos círculos eleitorais de fora do território nacional;http://www.cne.pt/sites/default/files/dl/legis_411-b-76-mandatarios-estrangeiro-2012.pdf;;

DL;;463/79;1979/30/11;Institui o número fiscal de contribuinte;https://dre.pt/application/file/367297;;

DL;;448/79;1979/13/11;Aprova o Estatuto da Carreira Docente Universitária;https://dre.pt/application/file/367742;;

DL;;519-F/79;1979/28/12;Regulamenta o exercício da actividade dos profissionais de informação turística;https://dre.pt/application/file/a/510085;;

